region	gender	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80 и старше	85 и старше	sum
г. Севастополь	all	4497	4942	5603	5861	5018	5011	5138	4936	4808	4935	4738	4599	4263	3994	4246	3805	3628	3442	3870	3743	3746	4090	4326	5425	5065	4902	5396	6331	6697	7212	7865	8235	8562	8292	8332	8426	7788	7375	7486	7011	6868	6513	6474	6547	6356	5994	6003	5677	5516	5179	5101	4893	4917	5016	5218	5602	5775	5904	6095	6023	6016	5927	5731	5742	6168	5580	5640	5339	5151	5435	4387	4278	3830	2266	2047	1768	2359	3155	3037	3210	16836	6192	443212
г. Севастополь	man	2358	2575	2863	2979	2640	2603	2643	2567	2479	2556	2430	2293	2150	2052	2155	1983	1851	1824	2097	2052	2055	2281	2570	3581	3042	2881	2945	3468	3582	3658	3953	4116	4263	4111	4226	4189	3916	3716	3746	3501	3401	3145	3142	3236	3179	2964	2970	2822	2741	2441	2463	2309	2337	2321	2386	2561	2531	2591	2527	2569	2501	2450	2326	2250	2527	2142	2188	2064	1931	1972	1566	1540	1379	754	680	633	824	1003	973	997	4460	1449	208746
г. Севастополь	woman	2139	2367	2740	2882	2378	2408	2495	2369	2329	2379	2308	2306	2113	1942	2091	1822	1777	1618	1773	1691	1691	1809	1756	1844	2023	2021	2451	2863	3115	3554	3912	4119	4299	4181	4106	4237	3872	3659	3740	3510	3467	3368	3332	3311	3177	3030	3033	2855	2775	2738	2638	2584	2580	2695	2832	3041	3244	3313	3568	3454	3515	3477	3405	3492	3641	3438	3452	3275	3220	3463	2821	2738	2451	1512	1367	1135	1535	2152	2064	2213	12376	4743	234466
Республика Дагестан	all	47666	49289	51415	52934	54595	52994	52942	51008	45172	49231	52555	49851	45973	48297	45631	46383	44952	40743	46264	42621	44282	42124	45544	49648	48366	47349	54454	57258	69698	60512	57994	56185	54324	57566	48652	47585	44919	40387	51100	40342	39500	37196	37525	42549	37485	36493	36864	34739	45327	35294	38955	34882	35077	40403	36289	36351	36109	34669	41066	31333	29177	26136	24298	23555	21090	17849	18000	15260	18191	13939	12096	10074	8183	7465	4755	5074	7675	7499	11131	8599	59169	22647	3086126
Республика Дагестан	man	24537	25329	26408	27354	28118	27046	26997	25879	23274	25007	26272	25406	23348	24327	23189	23409	22726	20647	22972	20602	21551	20285	22484	24913	24545	23362	26322	29020	34190	28803	27221	26303	25438	26733	23160	22755	21414	19575	24697	19654	18774	17714	18109	19904	18034	17156	17387	16772	21887	16830	18492	16603	16495	18939	16849	17004	16838	16566	19607	14610	13491	12144	11171	10504	9375	7907	8043	6804	8053	6070	5177	4230	3309	3003	1968	2072	2940	2924	4312	3310	22466	8642	1489115
Республика Дагестан	woman	23129	23960	25007	25580	26477	25948	25945	25129	21898	24224	26283	24445	22625	23970	22442	22974	22226	20096	23292	22019	22731	21839	23060	24735	23821	23987	28132	28238	35508	31709	30773	29882	28886	30833	25492	24830	23505	20812	26403	20688	20726	19482	19416	22645	19451	19337	19477	17967	23440	18464	20463	18279	18582	21464	19440	19347	19271	18103	21459	16723	15686	13992	13127	13051	11715	9942	9957	8456	10138	7869	6919	5844	4874	4462	2787	3002	4735	4575	6819	5289	36703	14005	1597011
Республика Ингушетия	all	8014	7835	7643	8517	9670	9315	9298	11302	8898	9332	9862	9212	8154	8398	8115	8087	8030	7267	7773	7588	7322	7186	6904	8050	7717	7506	8741	8276	11051	9708	9041	9130	8435	9293	7906	7618	7259	6485	8873	6315	5759	5338	5352	6265	5257	5448	5285	5063	8078	5836	5385	4987	4719	6118	5029	5161	5128	5002	6872	4859	4498	4123	3720	4027	3173	2686	2651	2348	2737	1910	1491	1309	1027	901	1034	969	1189	1007	1724	1206	7596	2974	497393
Республика Ингушетия	man	4112	4027	3984	4454	5038	4834	4907	5553	4125	4371	4719	4352	3824	3846	3630	3695	3626	3298	3386	3301	3168	3143	2888	3806	3339	3356	3989	3729	5284	4370	3952	3977	3688	3902	3435	3200	3173	2877	3857	2801	2544	2449	2409	2755	2390	2340	2355	2323	3518	2488	2351	2177	2011	2769	2131	2241	2176	2180	3215	2279	2191	1916	1673	1774	1471	1238	1139	1026	1316	810	608	534	450	376	385	358	388	347	587	435	3012	1321	226151
Республика Ингушетия	woman	3902	3808	3659	4063	4632	4481	4391	5749	4773	4961	5143	4860	4330	4552	4485	4392	4404	3969	4387	4287	4154	4043	4016	4244	4378	4150	4752	4547	5767	5338	5089	5153	4747	5391	4471	4418	4086	3608	5016	3514	3215	2889	2943	3510	2867	3108	2930	2740	4560	3348	3034	2810	2708	3349	2898	2920	2952	2822	3657	2580	2307	2207	2047	2253	1702	1448	1512	1322	1421	1100	883	775	577	525	649	611	801	660	1137	771	4584	1653	271242
Кабардино-Балкарская Республика	all	10832	11035	11946	12339	13088	13092	13384	12532	11758	12121	12690	12324	10286	10483	9965	9935	9701	8996	10105	9257	9666	9627	9935	11197	11073	11359	13047	14639	17424	16340	16002	15897	15672	16191	14321	13752	13457	11805	14105	11767	11397	10716	10463	11392	10187	10043	10112	10100	11913	10372	11101	10642	10806	12429	12103	12257	12424	12177	14253	11708	10919	10573	9373	9009	9090	7665	7640	6573	6875	5906	4890	4482	3675	2782	2266	2618	4323	3998	5103	4491	24228	8780	866219
